PullbackBars,Prior8Min,Prior24Min,GapMin,PenMin,PenMax,Current8Min,DevN,DevTarget,DevRate,HoldN,HoldTarget,HoldRate
2,39,10,5,1,4.5,15,210,152,72.38,250,178,71.2
2,39,10,5,1,2.5,-999,114,85,74.56,135,101,74.81
2,39,10,5,1,2.5,0,114,85,74.56,135,101,74.81
2,39,10,5,1,2.5,15,114,85,74.56,135,101,74.81
2,39,20,1.5,0,4.5,-999,519,370,71.29,565,395,69.91
2,39,20,1.5,0,4.5,0,464,328,70.69,520,362,69.62
2,39,20,1.5,0,4.5,15,383,269,70.23,412,284,68.93
2,39,20,1.5,0.5,4.5,-999,499,356,71.34,552,386,69.93
2,39,20,1.5,0.5,4.5,0,444,314,70.72,507,353,69.63
2,39,20,1.5,0.5,4.5,15,363,255,70.25,399,275,68.92
2,39,20,1.5,1,4.5,-999,473,337,71.25,516,366,70.93
2,39,20,1.5,1,4.5,0,418,295,70.57,471,333,70.7
2,39,20,1.5,1,4.5,15,337,236,70.03,363,255,70.25
2,39,20,1.5,1,2.5,-999,176,127,72.16,176,125,71.02
2,39,20,1.5,1,2.5,0,176,127,72.16,176,125,71.02
2,39,20,1.5,1,2.5,15,176,127,72.16,176,125,71.02
2,39,20,3,0,4.5,-999,445,321,72.13,493,341,69.17
2,39,20,3,0,4.5,0,409,293,71.64,455,310,68.13
2,39,20,3,0,4.5,15,346,246,71.1,373,253,67.83
2,39,20,3,0.5,4.5,-999,425,307,72.24,480,332,69.17
2,39,20,3,0.5,4.5,0,389,279,71.72,442,301,68.1
2,39,20,3,0.5,4.5,15,326,232,71.17,360,244,67.78
2,39,20,3,1,4.5,-999,399,288,72.18,447,314,70.25
2,39,20,3,1,4.5,0,363,260,71.63,409,283,69.19
2,39,20,3,1,4.5,15,300,213,71.0,327,226,69.11
2,39,20,3,1,2.5,-999,158,116,73.42,167,116,69.46
2,39,20,3,1,2.5,0,158,116,73.42,167,116,69.46
