bar,time,direction,entry,families,segment,outcome
17071,2026-08-14 07:32:19.432,-1,7813.0,EMA8,DEV,TARGET
17075,2026-08-14 07:33:20.016,-1,7811.25,EMA8,DEV,STOP
17078,2026-08-14 07:34:58.808,-1,7811.5,EMA8,DEV,STOP
17326,2026-08-14 11:10:46.004,1,7804.25,PIN7,DEV,TARGET
17344,2026-08-14 11:43:01.040,1,7804.75,PIN7,DEV,TARGET
17728,2026-08-17 06:32:50.512,-1,7802.0,PIN7,DEV,TARGET
17729,2026-08-17 06:33:01.284,-1,7801.25,PIN7,DEV,STOP
17735,2026-08-17 06:34:11.060,-1,7799.75,PIN7,DEV,TARGET
17748,2026-08-17 06:36:21.240,-1,7799.25,EMA24,DEV,TARGET
17750,2026-08-17 06:37:30.608,-1,7799.0,EMA24,DEV,TARGET
17823,2026-08-17 07:00:14.276,-1,7794.25,EMA8,DEV,TARGET
17840,2026-08-17 07:03:12.332,-1,7792.0,PIN7,DEV,STOP
17844,2026-08-17 07:04:25.032,-1,7794.75,EMA50,DEV,TARGET
17881,2026-08-17 07:22:17.260,-1,7792.5,PIN7,DEV,NONE
17908,2026-08-17 07:37:05.388,-1,7793.5,PIN7,DEV,TARGET
17910,2026-08-17 07:38:39.176,-1,7791.75,PIN7,DEV,STOP
18122,2026-08-17 11:09:00.236,-1,7775.25,EMA50,DEV,TARGET
18174,2026-08-17 12:20:05.068,-1,7774.75,EMA50,DEV,TARGET
18181,2026-08-17 12:32:01.096,-1,7770.0,PIN7,DEV,TARGET
18182,2026-08-17 12:32:50.860,-1,7769.25,PIN7,DEV,TARGET
18190,2026-08-17 12:40:13.856,-1,7771.0,EMA24,DEV,TARGET
18202,2026-08-17 12:52:51.016,-1,7769.25,PIN7,DEV,TARGET
18220,2026-08-17 12:59:40.664,-1,7770.0,EMA50,DEV,TARGET
18978,2026-08-18 06:31:32.724,1,7731.0,EMA8,DEV,TARGET
19003,2026-08-18 06:33:04.772,-1,7723.75,PIN7,DEV,TARGET
19011,2026-08-18 06:33:28.284,-1,7721.25,PIN7,DEV,STOP
19013,2026-08-18 06:33:37.880,-1,7722.0,EMA8,DEV,TARGET
19017,2026-08-18 06:33:58.012,-1,7722.25,EMA8,DEV,TARGET
19023,2026-08-18 06:34:25.540,-1,7723.0,EMA24,DEV,STOP
19027,2026-08-18 06:34:45.356,-1,7723.25,EMA50,DEV,STOP
19048,2026-08-18 06:36:07.436,1,7726.75,EMA50,DEV,TARGET
19050,2026-08-18 06:36:10.676,1,7727.0,EMA50,DEV,TARGET
19088,2026-08-18 06:39:35.528,1,7728.25,EMA24,DEV,TARGET
19100,2026-08-18 06:40:57.548,1,7732.25,EMA8,DEV,TARGET
19251,2026-08-18 07:02:20.880,1,7729.25,PIN7,DEV,TARGET
19280,2026-08-18 07:07:45.552,1,7730.5,PIN7,DEV,TARGET
19286,2026-08-18 07:08:55.048,1,7729.5,EMA24,DEV,STOP
19288,2026-08-18 07:09:25.308,1,7729.5,EMA50,DEV,STOP
19302,2026-08-18 07:11:35.256,-1,7719.75,PIN,DEV,TARGET
19308,2026-08-18 07:12:24.392,-1,7718.25,EMA8,DEV,STOP
19318,2026-08-18 07:14:11.564,-1,7719.5,EMA24,DEV,STOP
19335,2026-08-18 07:16:40.876,1,7725.5,EMA8,DEV,TARGET
19348,2026-08-18 07:18:37.696,1,7726.75,PIN7,DEV,TARGET
19349,2026-08-18 07:18:42.392,1,7727.25,PIN7,DEV,TARGET
19380,2026-08-18 07:25:00.228,1,7728.5,EMA8,DEV,TARGET
