EMA,PullbackBars,Shape,Prior24Min,CurrentSlopeMin,Gap1Min,Gap2OrPenMin,PenMax,RecoveryOrDispMin,DevN,DevTarget,DevRate,HoldN,HoldTarget,HoldRate
8,1,tail_1,30,15,3,0,2.5,0,89,61,68.54,98,73,74.49
8,1,tail_1,30,15,3,0,2.5,1,29,21,72.41,36,24,66.67
8,1,tail_1,30,15,3,0,4.5,0,112,77,68.75,119,86,72.27
8,1,tail_1,30,15,3,0,4.5,1,37,26,70.27,44,29,65.91
8,1,tail_1,30,15,3,0,6,0,112,77,68.75,119,86,72.27
8,1,tail_1,30,15,3,0,6,1,37,26,70.27,44,29,65.91
8,1,tail_1,30,15,3,1,2.5,0,43,31,72.09,49,36,73.47
8,1,tail_1,30,15,3,1,2.5,1,9,7,77.78,8,4,50.0
8,1,tail_1,30,15,3,1,4.5,0,66,47,71.21,70,49,70.0
8,1,tail_1,30,15,3,1,4.5,1,17,12,70.59,16,9,56.25
8,1,tail_1,30,15,3,1,6,0,66,47,71.21,70,49,70.0
8,1,tail_1,30,15,3,1,6,1,17,12,70.59,16,9,56.25
8,1,tail_1,30,15,5,0,2.5,0,63,44,69.84,67,55,82.09
8,1,tail_1,30,15,5,0,2.5,1,16,12,75.0,21,17,80.95
8,1,tail_1,30,15,5,0,4.5,0,71,49,69.01,73,59,80.82
8,1,tail_1,30,15,5,0,4.5,1,16,12,75.0,21,17,80.95
8,1,tail_1,30,15,5,0,6,0,71,49,69.01,73,59,80.82
8,1,tail_1,30,15,5,0,6,1,16,12,75.0,21,17,80.95
8,1,tail_1,30,15,5,1,2.5,0,26,20,76.92,29,24,82.76
8,1,tail_1,30,15,5,1,4.5,0,34,25,73.53,35,28,80.0
8,1,tail_1,30,15,5,1,6,0,34,25,73.53,35,28,80.0
8,1,tail_1,30,30,3,0,2.5,0,89,61,68.54,98,73,74.49
8,1,tail_1,30,30,3,0,2.5,1,29,21,72.41,36,24,66.67
8,1,tail_1,30,30,3,0,4.5,0,89,61,68.54,100,74,74.0
8,1,tail_1,30,30,3,0,4.5,1,29,21,72.41,38,25,65.79
8,1,tail_1,30,30,3,0,6,0,89,61,68.54,100,74,74.0
8,1,tail_1,30,30,3,0,6,1,29,21,72.41,38,25,65.79
8,1,tail_1,30,30,3,1,2.5,0,43,31,72.09,49,36,73.47
8,1,tail_1,30,30,3,1,2.5,1,9,7,77.78,8,4,50.0
8,1,tail_1,30,30,3,1,4.5,0,43,31,72.09,51,37,72.55
8,1,tail_1,30,30,3,1,4.5,1,9,7,77.78,10,5,50.0
8,1,tail_1,30,30,3,1,6,0,43,31,72.09,51,37,72.55
8,1,tail_1,30,30,3,1,6,1,9,7,77.78,10,5,50.0
8,1,tail_1,30,30,5,0,2.5,0,63,44,69.84,67,55,82.09
8,1,tail_1,30,30,5,0,2.5,1,16,12,75.0,21,17,80.95
8,1,tail_1,30,30,5,0,4.5,0,63,44,69.84,67,55,82.09
8,1,tail_1,30,30,5,0,4.5,1,16,12,75.0,21,17,80.95
8,1,tail_1,30,30,5,0,6,0,63,44,69.84,67,55,82.09
8,1,tail_1,30,30,5,0,6,1,16,12,75.0,21,17,80.95
8,1,tail_1,30,30,5,1,2.5,0,26,20,76.92,29,24,82.76
8,1,tail_1,30,30,5,1,4.5,0,26,20,76.92,29,24,82.76
8,1,tail_1,30,30,5,1,6,0,26,20,76.92,29,24,82.76
8,1,tail_1,39,0,3,0,2.5,0,67,46,68.66,67,55,82.09
8,1,tail_1,39,0,3,0,2.5,1,17,13,76.47,22,17,77.27
8,1,tail_1,39,0,3,0,4.5,0,96,64,66.67,89,68,76.4
8,1,tail_1,39,0,3,0,4.5,1,32,22,68.75,32,23,71.88
8,1,tail_1,39,0,3,0,6,0,96,64,66.67,89,68,76.4
8,1,tail_1,39,0,3,0,6,1,32,22,68.75,32,23,71.88
8,1,tail_1,39,0,3,1,2.5,0,31,23,74.19,30,25,83.33
8,1,tail_1,39,0,3,1,2.5,1,1,1,100.0,2,1,50.0
8,1,tail_1,39,0,3,1,4.5,0,60,41,68.33,52,38,73.08
8,1,tail_1,39,0,3,1,4.5,1,16,10,62.5,12,7,58.33
8,1,tail_1,39,0,3,1,6,0,60,41,68.33,52,38,73.08
8,1,tail_1,39,0,3,1,6,1,16,10,62.5,12,7,58.33
8,1,tail_1,39,0,5,0,2.5,0,60,41,68.33,64,53,82.81
8,1,tail_1,39,0,5,0,2.5,1,15,11,73.33,20,16,80.0
